Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
23,203_HDPE_ps_1,HDPE,yellow,regular,2023-04-18 10:22:58,0.6371897,0.2099332,0.3602767,0.43736,0.2546481,0.2259693,0.1483606,0.0747101,2.047829436,-0.4983362689,0.3976113966,0.856976801,-0.2318650861,-0.4027717359,-0.8652681763,-1.304176367,1.58208503,1.424773283,-1.378007343,0.1747887694,-1.039311237,-0.6717281911,-0.0154888086,-0.07711150212
24,203_HDPE_ps_2,HDPE,yellow,regular,2023-04-18 10:23:11,0.5548266,0.1774837,0.3045463,0.3664895,0.2073881,0.1863347,0.1151347,0.0630966,2.090032499,-0.4712629672,0.391201548,0.811654238,-0.26828047,-0.4111849157,-0.8944701113,-1.247689821,1.768417346,1.348333245,-1.080565768,0.1925201613,-1.050709153,-0.6532284451,-0.5637336796,0.03896629294
25,203_HDPE_ps_3,HDPE,yellow,regular,2023-04-18 10:23:21,0.5346152,0.1895693,0.3368415,0.3930657,0.2219041,0.1903616,0.1224521,0.0646387,1.922032566,-0.46410601,0.5543436443,0.9431578064,-0.2404971695,-0.4586269198,-0.9282498819,-1.328054035,1.186780788,1.834578526,-0.8070665251,0.4770816498,-1.053259372,-0.9738817264,-0.5171920973,-0.1470412436
26,208_HDPE_ps_1,HDPE,transparent,regular,2023-04-18 10:24:10,0.6769926,0.2254061,0.4179715,0.4922965,0.2970188,0.2612573,0.1655778,0.0899583,1.949698364,-0.5753978498,0.5013530329,0.916949549,-0.1749674613,-0.3749318718,-0.9099344531,-1.33276931,1.299129862,1.242636724,-1.610180634,0.2006337069,-1.062891353,-0.6448269976,-0.1727073605,0.7482060531
27,208_HDPE_ps_2,HDPE,transparent,regular,2023-04-18 10:24:24,0.6704515,0.2251531,0.449755,0.5006024,0.3073669,0.2619225,0.1580121,0.0860621,1.858953073,-0.5898669308,0.6452815124,0.9249055359,-0.1377503321,-0.3876617528,-0.9590940016,-1.354767104,1.440529205,1.523850471,-0.9751864321,0.5051594899,-0.8522135839,-0.8096598863,-0.9942762559,0.1617969922
28,208_HDPE_ps_3,HDPE,transparent,regular,2023-04-18 10:24:35,0.6123365,0.210983,0.4135026,0.4457486,0.2737838,0.2837451,0.1718725,0.098605,1.907122195,-0.657009599,0.6368297352,0.842840132,-0.2557933945,-0.1921535208,-0.9068753072,-1.37496024,0.1179506075,0.4376145404,-1.219945795,-0.670218505,-1.432780942,0.5081012713,0.4246847841,1.834594038
29,203_HDPE_ps_1,HDPE,gold,regular,2023-04-18 10:25:54,0.5423632,0.1701714,0.3527159,0.3694825,0.236934,0.2126387,0.122114,0.0659591,1.956153503,-0.613643751,0.6467342444,0.7624991878,-0.1526815639,-0.3204283956,-0.9454559364,-1.333177288,2.106789944,1.009396117,-0.7710076384,-0.3096059666,-0.9105211183,-0.07760198937,-1.007770713,-0.03967863452
30,203_HDPE_ps_2,HDPE,gold,regular,2023-04-18 10:26:12,0.577896,0.1788442,0.3593092,0.3561163,0.2529759,0.2189665,0.1128155,0.0656034,2.040648902,-0.5645219082,0.6136262677,0.592781731,-0.08056032492,-0.3025873804,-0.9955838453,-1.303803442,1.941800136,1.034992259,-0.4760524855,-0.7189159137,-0.09981701794,0.08854225018,-1.529290042,-0.2412591856
31,203_HDPE_ps_3,HDPE,gold,regular,2023-04-18 10:26:30,0.5406639,0.1748224,0.3903625,0.4017598,0.2480732,0.197679,0.1126055,0.0602593,1.790785315,-0.5925455962,0.8116236493,0.8858731191,-0.1153419549,-0.4436427481,-0.9978671931,-1.338884592,1.403890002,0.9940597818,0.5455015745,0.6939194164,-0.1875799608,-0.8701569529,-1.556488168,-1.023145692
32,223_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:27:24,0.7898057,0.25817,0.4746673,0.5317911,0.3006189,0.2561902,0.1638764,0.0851817,2.020940812,-0.4645639907,0.547604829,0.8146701883,-0.2661067674,-0.4738199575,-0.9054057093,-1.273319404,1.714716662,1.497946803,-0.4860177311,0.2919949664,-0.9871650411,-0.9673910909,-0.6267775025,-0.4373070659
33,223_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:27:35,0.7709468,0.2604469,0.4649844,0.5222311,0.2927362,0.2738403,0.1696311,0.0839979,2.017520213,-0.4577413494,0.5339999062,0.8115720587,-0.3011801764,-0.3928007525,-0.8980800429,-1.313289857,1.564510261,1.672027968,-0.6781872814,0.1488446253,-1.24077144,-0.5048997768,-0.3863288282,-0.575195527
34,223_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:27:47,0.8070225,0.2672883,0.4821039,0.5392858,0.3029639,0.2654045,0.1629029,0.0833868,2.025884188,-0.4411074805,0.5407615495,0.8021258856,-0.2780431278,-0.4497178648,-0.9182273519,-1.281675798,1.668970665,1.584493877,-0.4399774363,0.273958191,-0.9589478549,-0.7564568678,-0.7193908254,-0.6526497493
35,220_HDPE_ps_1,HDPE,purple,regular,2023-04-18 10:28:35,0.6037932,0.1975122,0.3253343,0.3815309,0.1873395,0.1447654,0.1050153,0.0610611,2.116129211,-0.3194090608,0.4468478316,0.7837303588,-0.3803914847,-0.6356110247,-0.8739014933,-1.137394338,1.585985594,1.452036153,-0.3218659735,0.3479995003,-0.9777947919,-1.313045512,-0.6802219207,-0.09309304931
36,220_HDPE_ps_2,HDPE,purple,regular,2023-04-18 10:28:46,0.5739418,0.1811962,0.3257184,0.3717894,0.1953055,0.1809915,0.1399317,0.0585954,2.098321167,-0.4729289892,0.4732375099,0.7748578615,-0.3805573882,-0.4742691313,-0.7430818619,-1.275579168,1.616093843,1.141869965,-0.6701035753,0.09976257085,-1.39320161,-0.8931819409,0.7133535475,-0.6145928004
37,220_HDPE_ps_3,HDPE,purple,regular,2023-04-18 10:29:04,0.355486,0.1317819,0.2168067,0.2573283,0.1277284,0.1106259,0.0639048,0.0310738,1.924221703,-0.29870402,0.5461790869,0.9488382558,-0.3389832523,-0.5089291191,-0.9731921121,-1.299430542,1.138018334,1.794022668,-0.1445280727,0.6505180603,-0.7655133238,-0.6867809122,-0.9119952249,-1.073741528
38,201_HDPE_ps_1,HDPE,blue,regular,2023-04-18 10:30:39,0.4077068,0.1356228,0.2592756,0.2929797,0.168863,0.1538718,0.0854284,0.0453131,1.921735397,-0.5207521885,0.5892742331,0.8918346402,-0.2223561937,-0.3569316186,-0.9713453834,-1.331458886,1.556280183,1.499524854,-0.5398665063,0.5321709086,-0.9179904618,-0.2532657585,-1.146532894,-0.7303203244
39,201_HDPE_ps_2,HDPE,blue,regular,2023-04-18 10:30:58,0.4369451,0.1621844,0.3033174,0.3602879,0.21321,0.1866113,0.1092538,0.0624447,1.735124317,-0.5606305386,0.6186020446,1.094617363,-0.1342876557,-0.3565323023,-1.002890592,-1.394002635,0.1995906252,1.78530006,-1.299266773,0.8720292149,-0.8272339504,-0.4285754108,-0.9907999865,0.6889562206
40,201_HDPE_ps_3,HDPE,blue,regular,2023-04-18 10:31:13,0.387982,0.133467,0.2609782,0.2838579,0.1675688,0.153804,0.0899604,0.0464332,1.875721532,-0.5417890687,0.669376001,0.8866988201,-0.2178731384,-0.3486180843,-0.9550364871,-1.368479575,1.355878825,1.777835894,-0.5593472298,0.3242968203,-1.226656433,-0.273245808,-0.8117141502,-0.5870479183
