Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
10,A03A,PET,transparent,regular,2023-05-08 10:28:54.585807,148818.0,227800.0,539105.0,537572.0,273369.0,297080.0,102824.0,68687.0,-0.7414209468784454,-0.27514629296221776,1.562660183670322,1.5536100324402495,-0.006127153103660388,0.13385206138834632,-1.0129490980043092,-1.214478786550285,0.5767980030839727,0.4471597968211849,1.3192635180659844,0.7512381923852017,-0.6518337683079197,0.34034836748488073,-0.7793839555976144,-2.0035901539356904
11,A03A,PET,transparent,regular,2023-05-08 10:29:04.125324,148655.0,226465.0,538346.0,536696.0,269364.0,293572.0,100223.0,67475.0,-0.7308277859136341,-0.27202800034880575,1.566950741737613,1.5572216626194795,-0.01907783968892176,0.1236624920030634,-1.0164027918829923,-1.2094984785258018,0.6903368008635589,0.4655049020849199,1.30627494966415,0.8237571164908157,-0.659102058980055,0.23204067653761115,-1.0127842270133216,-1.846028159647702
12,A03A,PET,transparent,regular,2023-05-08 10:29:13.266727,149485.0,227090.0,541864.0,534653.0,271056.0,295497.0,100650.0,67799.0,-0.7307813518146856,-0.2735228426013209,1.5811655148386334,1.5386773876569109,-0.01446959067071349,0.12953988325086174,-1.0185233696928464,-1.2120856309668395,0.7354770717231046,0.43870122269063233,1.3839143772203897,0.6384048162507557,-0.6163459433673094,0.2943723388677559,-1.0214171224285142,-1.853106760956835
13,A04A,PET,transparent,regular,2023-05-08 10:29:28.306535,127968.0,199312.0,365689.0,425281.0,193949.0,223017.0,63589.0,40909.0,-0.6094696631803515,-0.04474081404888084,1.2722289624137044,1.743933963218854,-0.08719204776008398,0.1428979133656391,-1.1190665259611732,-1.298591788047708,1.234061757604153,1.3340328068965166,-0.23941162564287724,0.6595878969583457,-0.38463645485982767,0.19954257290078772,-1.1913374720426355,-1.611839481814461
14,A04A,PET,transparent,regular,2023-05-08 10:29:36.448956,127286.0,201055.0,368942.0,425835.0,191756.0,219442.0,63793.0,41101.0,-0.6114890348628965,-0.030302546217932887,1.2923893164769253,1.7406188288530984,-0.10356439276471428,0.11455879074901726,-1.1117164166023084,-1.2904945456311891,1.199285658299644,1.4088560820933493,-0.1784957086784736,0.674869750896734,-0.44835356159328305,0.09804283571233129,-1.1696507388259392,-1.584554317904361
15,A04A,PET,transparent,regular,2023-05-08 10:29:44.525999,125820.0,202980.0,365987.0,426783.0,192090.0,223495.0,64752.0,41558.0,-0.628738935589078,-0.019373378464505153,1.2679626942442201,1.7480947368951472,-0.10537637116910077,0.14264236031738456,-1.111019078700579,-1.294192027533489,1.1022615397781723,1.4822702531156653,-0.2607518565369617,0.6749387994664993,-0.47325413049142173,0.19550890111720745,-1.1365237349613537,-1.584449771487808
16,A05A,PET,green,regular,2023-05-08 10:30:04.996944,2257.0,2296.0,2358.0,2331.0,2364.0,2296.0,2127.0,2366.0,-0.5676305987003191,-0.04520951671064489,0.78530604952935,0.42362991584419096,0.8656785236816076,-0.04520951671064489,-2.3090342053325665,0.8924693483990268,0.2935427611277275,-0.3023038272745273,-0.946473807137679,-0.9608116410781314,-0.5057235587390003,-0.5772759643160302,0.8222745628006983,2.176771474616942
17,A05A,PET,green,regular,2023-05-08 10:30:11.869192,2222.0,2292.0,2307.0,2099.0,2228.0,2235.0,2287.0,2420.0,-0.4587447874264622,0.35939878250608187,0.5347152617773413,-1.8963399174507896,-0.3886181957179584,-0.306803838724704,0.30095995608232873,1.8554327389541625,0.24263879667350946,-0.2990861349340233,-0.9194570416717329,-0.9702337541128101,-0.542815483956805,-0.5806796799163942,0.934084896425535,2.1355484014927213
18,A05A,PET,green,regular,2023-05-08 10:30:17.656723,2185.0,2224.0,2293.0,2455.0,2524.0,2280.0,2394.0,2311.0,-1.3693762469771777,-1.0091356153946487,-0.3717868056717127,1.1245973562864848,1.7619461660094209,-0.49186701619922235,0.5611440607343241,-0.2055218987874685,0.21329372327612614,-0.3591666004672408,-0.9771158753515519,-0.9503314791034224,-0.46031315375855836,-0.6022178986058516,1.0799279206779169,2.0559233633325826
19,B01A,HDPE,white,regular,2023-05-08 10:31:27.027250,128480.0,197823.0,362845.0,400643.0,185479.0,214334.0,81522.0,56720.0,-0.6491760502985231,-0.0489711876024769,1.3793922643945082,1.7065564107421591,-0.15581584135440565,0.09394132682543103,-1.0556254387368793,-1.2703014839698135,1.5184292214322774,1.5352102665051408,-0.911805108160947,-0.07629467764301395,-1.4797517543835264,-0.5559222903952754,0.00885664072268566,-0.038722298077335585
20,B01A,HDPE,white,regular,2023-05-08 10:31:35.231502,133262.0,206133.0,376441.0,409561.0,194978.0,217859.0,85002.0,56078.0,-0.6448578147203989,-0.03181078979301336,1.4009513888697356,1.6795823595658288,-0.12565524867329478,0.06683736124510226,-1.050858136151361,-1.2941891203425988,1.5588050909836575,1.6299753890090007,-0.8144578594898325,-0.14846013949766879,-1.251594957524754,-0.665575817819706,0.13788565651142975,-0.44657736217212235
