Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_snvScaled,nm1050_snvScaled,nm1200_snvScaled,nm1300_snvScaled,nm1450_snvScaled,nm1550_snvScaled,nm1650_snvScaled,nm1720_snvScaled
11,,pet,transparent,,"January 24, 2024 at 11:46AM",614048,889582,1627259,1624612,1029612,1018819,348240,274999,1060620.75,1048446.31,1046860.31,1049063.62,1009840.88,1036653.06,973192.75,929108.75,898692.37,634398.44,599968.06,647799.63,-203683.95,378379.69,-999275.19,-1956291.37,679738.474,626879.688,619993.612,629559.926,459263.21,575675.938,300144.962,108741.726
12,,pet,transparent,,"January 24, 2024 at 11:47AM",589509.5,858421.5,1607087.5,1620241.5,1035788.5,1019512.5,343172.5,269463.5,1018236.38,1011721,1033883.44,1046241.5,1015898.69,1037358.62,959031.12,910406.56,305688.56,164827.08,643975.81,911155.31,255148.08,719108.81,-974320.44,-2025576.37,561137.712,532965.416,628795.162,682231.062,551029.616,643821.762,305135.912,94884.726
13,,pmma,transparent,,"January 24, 2024 at 11:47AM",649667,946862,1524972,1696144,945221,1005215,322738,241258,1122144.12,1115955.5,981056.25,1095254.12,927070.37,1022810.94,901924.81,815111.75,1114035,1058649,-148651.36,873379.06,-631805.75,225038.25,-856849.62,-1633795.62,722807,711729.8,470269.728,674675.812,373638.85,545007.65,328630.076,173240.876
14,,pmma,transparent,,"January 24, 2024 at 11:47AM",674879.5,983348.5,1474791.5,1731885.5,894988.5,982027.5,303119.5,222762.5,1165692.62,1158957.87,948773.75,1118333.62,877802.44,999217.5,847098.81,752623.06,1180241.12,1136598.62,-225438.34,873344.94,-685347.19,101447.66,-884313.12,-1496535.62,736048.224,727319.724,454912.332,674668.988,362930.562,520289.532,323137.376,200692.876
15,,pmma,transparent,,"January 24, 2024 at 11:47AM",695292.5,1017286.5,1438989.5,1772912.5,854714.5,973152.5,295683.5,217106.5,1200951.25,1198956.62,925741.38,1144826,838301.81,990187.19,826318.19,733513.75,1202362.37,1191391.5,-311358.38,893659.94,-792297.06,43109.18,-858209.94,-1368656.62,740472.474,738278.3,437728.324,678731.988,341540.588,508621.836,328358.012,226268.676
16,,pmma,transparent,,"January 24, 2024 at 11:48AM",720393.5,1057841.5,1404105.5,1822058.5,817330.5,961227.5,286506.5,209637.5,1244307.12,1246754,903299.5,1176561.12,801635.69,978053.44,800672.13,708279.06,1218488.5,1229874.12,-368278.44,903254.69,-841337.56,-20435.56,-845821.19,-1275741.87,743697.7,745974.824,426344.312,680650.938,331732.488,495912.888,330835.762,244851.626
17,,pmma,transparent,,"January 24, 2024 at 11:48AM",746792,1098879,1377602,1865959,797418,958037,283204,206563,1289904.25,1295120.12,886249.13,1204909.12,782105.56,974807.06,791442.94,697891.56,1240676.62,1262276.12,-430900.63,888703.19,-862169.81,-64173.12,-823502.75,-1210908.62,748135.324,752455.224,413819.874,677740.638,327566.038,487165.376,335299.45,257818.276
18,,pmma,transparent,,"January 24, 2024 at 11:48AM",680947,994566,1476364,1746692,894185,988975,303772,223159,1176172.75,1172178.62,949785.44,1127894.62,877014.37,1006286.62,848922.31,753962.63,1176502.87,1151393.37,-246695.81,872999.19,-704175.81,108502.58,-880778.44,-1477748.75,735300.574,730278.674,450660.838,674599.838,359164.838,521700.516,323844.312,204450.25
19,,pmma,blue transparent,,"January 24, 2024 at 11:48AM",680669,990072,1459771,1743873,884296,982319,301892,222454,1175692.5,1166882,939110.69,1126074.37,867315.31,999514.19,843668.44,751580.75,1197234,1142284.75,-278280.34,887775.56,-726054,98444.45,-873535,-1447867.87,739446.8,728456.95,444343.932,677555.112,354789.2,519688.89,325293,210426.426
20,,pmma,blue transparent,,"January 24, 2024 at 11:48AM",673951,984506,1476220,1733843,890809,980967,299945,223358,1164088.87,1160322.12,949692.81,1119597.5,873703.19,998138.5,838227.38,754635,1168974.87,1144753.12,-209681.94,882876.62,-698327.19,101844.2,-926451.56,-1463985.62,733794.974,728950.624,458063.612,676575.324,360334.562,520368.84,314709.688,207202.876
21,,pc,transparent,,"January 24, 2024 at 11:49AM",677686,989392,1623769,1784708,1032690,1064189,295317,216062,1170540.25,1166080.62,1044615,1152442.87,1012859.69,1082817.25,825293.94,729984.81,899588.19,872382.19,131378.53,789184.75,-62345.42,364432.16,-1206594.25,-1788029.5,679917.638,674476.438,526275.706,657836.95,487530.916,572886.432,258681.15,142394.1
22,,pc,transparent,,"January 24, 2024 at 11:49AM",683184,995522,1624838,1795870,1032054,1055580,297649,216966,1180036.62,1173305.25,1045302.75,1159650.5,1012235.87,1074057.62,831810.94,733039.06,934624.94,893734.19,116164.98,810786.5,-84704.41,290840.53,-1180721.12,-1780724.75,686924.988,678746.838,523232.996,662157.3,483059.118,558168.106,263855.776,143855.05
23,,pc,transparent,,"January 24, 2024 at 11:49AM",680803.5,996776.5,1630734.5,1793858.5,1034583.5,1055313.5,296835.5,215681.5,1175924.87,1174783.87,1049096.25,1158351.5,1014716.87,1073786.37,829537.56,728699.25,907459.31,900570.94,141776.98,801366.31,-65776.16,290834.75,-1183729.87,-1792504.87,681491.862,680114.188,528355.396,660273.262,486844.768,558166.95,263254.026,141499.026
24,,pc,transparent,,"January 24, 2024 at 11:49AM",681494,985001,1603518,1777306,1026373,1059031,293085,215775,1177117.62,1160905.5,1031587,1147663,1006664.06,1077569,819056.37,729015.19,962839.81,864306.56,78341.05,783821.94,-73134.33,357808.16,-1213366.87,-1760614.75,692567.962,672861.312,515668.21,656764.388,485373.134,571561.632,257326.626,147877.05
25,,pc,transparent,,"January 24, 2024 at 11:49AM",641717,936623,1652237,1704937,1058542,1060074,326201,245357,1108412.37,1103887.87,1062929.25,1100932.12,1038215.25,1078630.25,911602.5,828960.63,767423.31,723591.25,326795.72,694956.81,87373.52,478902.59,-1139214.87,-1939826,653484.662,644718.25,565359.144,638991.362,517474.704,595780.518,272157.026,112034.8
26,,pc,transparent,,"January 24, 2024 at 11:49AM",638016.5,935988.5,1660634.5,1701488.5,1063529.5,1055961.5,324936.5,244517.5,1102020.62,1103140.12,1068331.75,1098705.25,1043107.06,1074445.75,908068.69,826124.25,713873.19,724668.94,389000.09,681901.94,145749.97,447959.44,-1156470.25,-1946688,642774.638,644933.788,577800.018,636380.388,529149.994,589591.888,268705.95,110662.4
27,,pc,transparent,,"January 24, 2024 at 11:49AM",637574,933813,1655240,1704591,1060999,1060477,325366,244906,1101256.37,1100576.12,1064861.12,1100708.62,1040625.13,1079040.25,909269,827436.87,711008.69,704408.87,357901.94,705694.37,122764.26,495467.81,-1151652.87,-1945588.12,642201.738,640881.774,571580.388,641138.874,524552.852,599093.562,269669.426,110882.376
28,,pc,transparent,,"January 24, 2024 at 11:49AM",638416.5,933638.5,1654089.5,1708082.5,1063910.5,1062857.5,326044.5,245324.5,1102711.5,1100370.5,1064121.12,1102963.25,1043480.75,1081462.37,911165.13,828850.81,712458.56,689711.06,337475.78,714904.81,136913.19,505980.72,-1148798.12,-1948646.5,642491.712,637942.212,567495.156,642980.962,527382.638,601196.144,270240.376,110270.7
29,,ps,transparent,,"January 24, 2024 at 11:50AM",657027,961571,1585699,1716722,1054864,1026437,314105,232736,1134856.75,1133291.25,1020123.63,1108542.12,1034607.88,1044404.38,877799,786319.44,938574.38,926054.81,21036.99,728132.5,136869.63,215213.66,-1117153.62,-1848728.87,687714.876,685210.962,504207.398,645626.5,527373.926,543042.732,276569.276,130254.226
30,,ps,transparent,,"January 24, 2024 at 11:50AM",654720.5,951706.5,1596893.5,1706901.5,1047970.5,1050897.5,309441.5,231483.5,1130872.87,1121665.12,1027325.25,1102200.62,1027846.81,1069293.12,864766.38,782087.75,908099.69,835463.5,91255.18,681916.13,95369.57,422322.44,-1191104.75,-1843322.25,681619.938,667092.7,518251.036,636383.226,519073.914,584464.488,261779.05,131335.55
31,,ps,transparent,,"January 24, 2024 at 11:50AM",704003.5,1034170.5,1575225.5,1801548.5,1045458.5,1061945.5,301237.5,218078.5,1215997.37,1218855.75,1013385.62,1163317.25,1025383,1080534.5,841839.44,736797.75,1028804.69,1045234.69,-135816.16,725997,-66854.75,250158.38,-1121870.75,-1725654.75,705760.938,709046.938,472836.768,645199.4,486629.05,550031.676,275625.85,154869.05
32,,ps,transparent,,"January 24, 2024 at 11:50AM",695067,1034042,1561741,1788078,1040978,1061412,301339,218967,1200561.75,1218704.37,1004710.81,1154618.87,1020988.56,1079991.62,842123.06,739799.62,986019.75,1092581.37,-164321.08,716171.88,-68712.86,277844.75,-1119288.75,-1720290.87,697203.95,718516.274,467135.784,643234.376,486257.428,555568.95,276142.25,155941.826
33,,ps,transparent,,"January 24, 2024 at 11:50AM",633796.5,927059.5,1591670.5,1678124.5,1051725.5,1041724.5,328612.5,244743.5,1094731.62,1092616.5,1023965.25,1083618.37,1031529.69,1059959.5,918341.69,826887.87,817494.25,795404.25,78422.67,701429.44,157424.33,454340.31,-1024691.25,-1979818.87,663498.85,659080.85,515684.534,640285.888,531484.866,590868.062,295061.75,104036.226
