Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
15,5mm pmma,PMMA,transparent,regular,2023-09-19 11:49:58.409464,20171.0,32100.0,44614.0,63301.0,22287.0,30200.0,7977.0,4773.0,-0.44603879892177933,0.21848972591942345,0.9156068321196759,1.9566031053787551,-0.32816283626237913,0.11264647022336467,-1.1253296725837483,-1.3038148258733127,1.2798637994656847,1.4531300751919858,-0.44006721633639895,0.8560277797474745,-0.8177181025560357,-0.05131244987193076,-0.9762600798515104,-1.303663805789268
16,5mm pmma,PMMA,transparent,regular,2023-09-19 11:49:59.697044,20096.0,32678.0,44259.0,63441.0,22376.0,30334.0,8219.0,4650.0,-0.45461178326472784,0.24630578824931743,0.8914596903081442,1.960049807680773,-0.32759763105903533,0.11572632650802653,-1.1162552419256973,-1.315076956496801,1.22727609527999,1.508820755409392,-0.4723871098566778,0.8388727613788589,-0.8062006175125042,-0.047582552207298366,-0.8902806059387477,-1.3585187265530156
17,5mm pmma,PMMA,transparent,regular,2023-09-19 11:50:00.738639,20261.0,32168.0,43900.0,63097.0,22143.0,30039.0,8213.0,4753.0,-0.4390207510967822,0.23023893373622176,0.8896623504205925,1.9686728627023742,-0.3332387130640524,0.11057370580227824,-1.1162056576952564,-1.310682730805376,1.3008246688790173,1.462398022665182,-0.49262150831943335,0.8401313524493441,-0.835556967655809,-0.07091744831052851,-0.8921422692078873,-1.3121158504998855
18,5mm pmma,PMMA,transparent,regular,2023-09-19 11:50:01.961567,20149.0,32110.0,44383.0,62920.0,22177.0,30234.0,8180.0,4663.0,-0.4461046659704166,0.22481925074933104,0.9132440672280087,1.9530331019436646,-0.33234881753737183,0.1195894816860214,-1.117477323709624,-1.3147550943896134,1.279966361362917,1.460369403969282,-0.45167657335632294,0.8337838684133458,-0.8266477114566807,-0.04147619669097972,-0.8993922411553935,-1.3549269110861692
19,5mm pmma,PMMA,transparent,regular,2023-09-19 11:50:03.186283,20009.0,32112.0,44567.0,62824.0,22216.0,29709.0,8217.0,4955.0,-0.4539271410386776,0.22709369203272206,0.9279211295196496,1.9552199272875206,-0.3297419821038202,0.09187985563921852,-1.1174483889588582,-1.3009970923777547,1.2776320361214912,1.5008306515711518,-0.462822228298266,0.8451838858362034,-0.8595079534680402,-0.11972840457324743,-0.9266726454469804,-1.2549153417423136
20,4mm pmma,PMMA,transparent,regular,2023-09-19 11:50:22.755581,21674.0,35132.0,51768.0,70074.0,26140.0,34318.0,9548.0,5656.0,-0.5061890518738184,0.16731175240882307,0.9998544318594117,1.9159716649696832,-0.2826896766378043,0.12657541308009146,-1.1130303918003535,-1.3078041420060333,1.192582396393512,1.4897389584186598,-0.40552441256357824,0.8804997736874252,-0.8159986290070054,-0.03537519219119476,-0.9373810703265507,-1.368541824411269
21,4mm pmma,PMMA,transparent,regular,2023-09-19 11:50:24.215451,21748.0,35145.0,52452.0,70378.0,26643.0,34501.0,9532.0,5733.0,-0.5105716732396526,0.1555556780182357,1.0160965504688046,1.9074154202641997,-0.2671818557874347,0.12353462746885299,-1.1179771911142786,-1.3068715560787272,1.1957670794963589,1.478968747656481,-0.38491909115257106,0.8843302169459669,-0.7834342657982851,-0.04052403044692012,-0.980819923452319,-1.3693687332487086
22,4mm pmma,PMMA,transparent,regular,2023-09-19 11:50:25.525133,21790.0,35042.0,52246.0,69950.0,26254.0,34043.0,9526.0,5875.0,-0.503467835013876,0.16035881967397164,1.0221512862639,1.908990034724031,-0.2798546304767079,0.11031634849730701,-1.1178030367262035,-1.3006909869424224,1.2316181707269254,1.4894096472292044,-0.3935329058686905,0.8730455173670169,-0.8342664289986519,-0.08826256702555857,-0.9820978453890062,-1.2959135880412356
23,4mm pmma,PMMA,transparent,regular,2023-09-19 11:50:26.843971,21959.0,34360.0,50926.0,69277.0,26269.0,34251.0,9286.0,5614.0,-0.4841464042526589,0.14560574565028833,0.986866459729171,1.918773701312026,-0.26527439666603664,0.1400704675001858,-1.1277113583466876,-1.314184214926288,1.3034251609625171,1.399022748705496,-0.4346992524716268,0.8579681013413504,-0.7637641445711891,-0.007985867181888887,-0.9970301429899731,-1.3569366037946906
24,3mm pmma,PMMA,transparent,regular,2023-09-19 11:50:40.922627,23263.0,36881.0,59246.0,76181.0,30710.0,38965.0,10915.0,6416.0,-0.5493161229321889,0.0710097267534681,1.0897780942244417,1.8611996145964935,-0.21009108235287569,0.16593989790524585,-1.111791052578135,-1.3167290756164498,1.1828256615429016,1.3739270251537465,-0.3291617481846017,0.9060978421967251,-0.710930741992681,0.07631997501042087,-0.9757283879997827,-1.5233496257267272
