Reading,PlasticType,ID,Color,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
28,HDPE,B02C,Transparent,3053,100366,146236,99810,132762,105507,155187,68360
29,HDPE,B02C,Transparent,3003,98992,143516,97021,131991,102532,151315,67496
30,HDPE,B02C,Transparent,2843,91039,131080,89403,121799,94375,139764,63062
31,HDPE,B03C,Green,651,63352,126682,77337,107030,75077,115179,54219
32,HDPE,B03C,Green,653,62002,123374,75661,104666,71603,110779,52663
33,HDPE,B03C,Green,569,66323,135946,86006,117514,86736,130398,59490
34,HDPE,B03C,Green,593,65072,129914,82347,111629,84313,127143,58040
35,HDPE,B04C,Yellow,2481,88677,125135,74107,96675,65515,97677,47166
36,HDPE,B04C,Yellow,2855,102719,146096,82069,116853,88019,134202,60950
37,HDPE,B04C,Yellow,2647,88686,124663,72761,96684,67978,101881,48378
38,HDPE,B04C,Yellow,2783,101910,147837,83936,114258,80400,124475,57987
39,HDPE,B05C,Gray,880,30999,37813,36402,48593,34171,51986,27748
40,HDPE,B05C,Gray,869,31001,37836,36571,48856,34248,52278,27626
41,HDPE,B05C,Gray,903,31620,38408,37519,49566,34759,54982,27964
42,HDPE,B05C,Gray,933,31806,38350,37770,48744,34547,54171,27826
43,PVC,C01C,Transparent,2215,117010,177534,130313,166234,133627,186837,75712
44,PVC,C01C,Transparent,2355,118284,179621,131547,163457,128168,180495,74764
45,PVC,C01C,Transparent,2364,117668,175243,127809,157970,127425,182292,74486
46,PVC,C01C,Transparent,2431,113720,174886,132521,163060,130487,181092,73996
47,PVC,C02C,White,3542,113630,171724,107767,147589,104181,148896,64700
48,PVC,C02C,White,3345,112334,170144,106910,149196,104937,147995,64128
49,PVC,C02C,White,3342,112204,169308,105989,147816,103163,148861,64570
50,PVC,C02C,White,3481,113524,170174,108588,148434,102770,149111,65047
51,PVC,C03C,White,3275,118251,180386,128020,161670,132591,176813,73700
52,PVC,C03C,White,3251,119858,183496,130331,164940,129207,176001,75002
53,PVC,C03C,White,3209,117996,180302,128271,164320,130210,176543,74458
54,PVC,C03C,White,3157,116818,177721,127321,163336,130627,174955,74382
55,PVC,C04C,Transparent,1497,73055,101642,82109,103640,88673,120350,53252
56,PVC,C04C,Transparent,1385,64416,95546,77761,105820,93675,124253,50606
57,PVC,C04C,Transparent,2539,103888,157201,119199,155875,125693,166862,69704
58,PVC,C04C,Transparent,1632,65136,96559,79393,98664,75943,105737,48194
59,PVC,C05C,Blue,1343,88660,137516,93742,109702,81805,104811,46930
60,PVC,C05C,Blue,1339,87942,136602,93371,109804,82098,104778,46926
61,PVC,C05C,Blue,1367,88130,136746,93715,110086,81942,104437,46773
62,PVC,C05C,Blue,1326,87640,136095,93023,109526,82116,104295,46673
63,PVC,C06C,Gray,343,19482,19280,28995,38780,26711,43112,23396
64,PVC,C06C,Gray,363,19162,19329,28563,38412,26423,42692,23186
65,PVC,C06C,Gray,351,19863,18754,29209,38490,26709,42880,23306
66,PVC,C06C,Gray,311,19082,19046,28715,37312,26191,41735,23354
67,LDPE,D01C,White,3507,123302,185957,138111,167594,139309,188215,78966
68,LDPE,D01C,White,3685,123916,190074,140440,168822,140949,189341,80106
69,LDPE,D01C,White,3641,122634,187234,139483,168349,139433,187088,79356
70,LDPE,D01C,White,3628,123603,187989,139247,167082,137005,185819,78545
71,LDPE,D02C,Transparent,2251,102974,154254,142769,145140,125433,173269,68752
72,LDPE,D02C,Transparent,2397,111030,182795,151203,160244,130630,178047,69218
73,LDPE,D02C,Transparent,2399,101904,157675,118406,141700,119150,173783,80598
74,LDPE,D02C,Transparent,2739,121032,173402,165285,186550,130831,223042,84578
75,LDPE,D03C,Red,1262,95972,139000,93486,124736,97041,147061,64239
76,LDPE,D03C,Red,955,61264,81027,59248,81056,61086,93443,43828
77,LDPE,D03C,Red,1307,95111,136451,95135,123206,94987,142958,64235
78,LDPE,D03C,Red,853,57961,77942,56185,77658,57534,89113,42251
79,LDPE,D04C,Yellow,2011,70236,93172,54012,76253,54583,85065,40706
80,LDPE,D04C,Yellow,2016,86576,98496,69603,111862,78413,93827,53256
81,LDPE,D04C,Yellow,1983,85166,102469,65033,110768,102411,113851,56712
82,LDPE,D04C,Yellow,2223,76706,101129,58663,80204,52195,83715,41706
83,PP,E01C,White (shiny),3369,114316,166222,104445,136272,97734,146007,64168
84,PP,E01C,White (shiny),3232,104056,148157,94061,120998,86443,126694,56676
85,PP,E01C,White (shiny),3338,116230,169865,106195,139530,98063,144426,64170
86,PP,E01C,White (shiny),3467,113600,162760,101981,131994,97632,144879,63368
87,PP,E02C,White,2981,102926,150423,100263,128282,95493,130637,57238
88,PP,E02C,White,3124,104541,152124,101365,127512,95794,132293,57906
89,PP,E02C,White,3061,101764,147789,98286,123790,91649,127930,56504
90,PP,E02C,White,3068,103166,147246,99001,125522,94906,126639,57172
91,PP,E03C,Light Blue,1459,83862,121036,70266,93990,61788,88718,41049
92,PP,E03C,Light Blue,1533,83530,120404,69997,93672,60828,88443,41134
93,PP,E03C,Light Blue,1489,84238,121664,71065,94627,61208,87457,40925
94,PP,E03C,Light Blue,1546,83899,121519,71169,94835,61579,87415,40718
95,PP,E04C,Purple,967,68742,90082,54814,70534,45346,72204,32458
96,PP,E04C,Purple,1009,67328,90336,54357,71191,46735,65011,32550
97,PP,E04C,Purple,1015,69058,92814,55289,72680,46815,70053,33641
98,PP,E04C,Purple,1031,66568,92062,55845,72508,46192,70607,33233
99,PP,E05C,White,3209,123930,181634,100535,142076,94911,144777,62631
100,PP,E05C,White,3312,124913,182441,100929,142015,94019,144547,62856
101,PP,E05C,White,3349,124520,181512,99694,141125,94209,143869,62829
102,PP,E05C,White,3737,124612,181874,100123,142047,94332,143901,62978
103,PP,E05C,White,3405,124198,181448,99839,141698,93877,143448,62610
104,PS,F01C,White,3858,130046,198008,133375,170327,133869,183463,69996
105,PS,F01C,White,3846,130673,199751,135456,172921,134783,183918,70234
106,PS,F01C,White,3689,126952,196705,134181,173184,133421,179627,68588
107,PS,F01C,White,3879,130051,198104,132743,170881,132479,181295,69826
108,PS,F02C,Blue,1029,90043,149264,125271,149836,122380,151821,64628
109,PS,F02C,Blue,1053,98747,165343,124971,151768,127554,163714,66436
110,PS,F02C,Blue,1073,96467,155436,115694,147238,123483,149104,65792
111,PS,F02C,Blue,1223,99022,160335,115764,142961,116126,157157,70534
112,PS,F03C,White,3224,124346,185318,105351,146765,103748,146095,54747
113,PS,F03C,White,3332,123125,183064,103197,145127,103157,145597,54590
114,PS,F03C,White,3429,125227,185804,105642,146436,103235,146594,54985
115,PS,F03C,White,3331,123918,184152,103919,145047,102283,144894,54485
116,PS,F04C,Transparent,3347,125492,190686,138972,170962,139627,192118,69204
117,PS,F04C,Transparent,3475,124860,188102,137631,168277,137203,189785,68646
118,PS,F04C,Transparent,3524,125186,187478,137039,165080,134220,186939,68352
119,PS,F04C,Transparent,2952,106814,155913,116899,144073,115543,165046,60924
120,other,spectralon,white,3997,131290,201634,149595,178717,150292,193324,85062
121,other,spectralon,white,4075,131544,202183,150067,179356,151292,194063,85118
122,other,polished alu,metal,1513,145746,209441,250815,227894,183707,317629,80834
123,other,polished alu,metal,1576,146338,212580,251409,233120,185447,317973,81073
124,other,reference paper,white,3474,130414,199293,144825,173478,126519,153884,70106
125,other,reference paper,white,3601,130523,198635,144345,172014,125324,149187,69572
126,other,nothing,na,-133,2523,-7942,8594,18121,9340,14163,15574
127,other,nothing,na,-135,2363,-7858,8577,18188,9315,14155,15746
