PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14
6,3429,125227,185804,105642,146436,103235,146594,54985,673.0777777777778,-308.31538461538463,407.94,-288.00666666666666,433.59,-916.09
6,3331,123918,184152,103919,145047,102283,144894,54485,669.2666666666667,-308.58846153846156,411.28,-285.0933333333333,426.11,-904.09
6,3347,125492,190686,138972,170962,139627,192118,69204,724.3777777777777,-198.9,319.9,-208.9,524.91,-1229.14
6,3475,124860,188102,137631,168277,137203,189785,68646,702.6888888888889,-194.11923076923077,306.46,-207.16,525.82,-1211.39
6,3524,125186,187478,137039,165080,134220,186939,68352,692.1333333333333,-193.99615384615385,280.41,-205.73333333333332,527.19,-1185.87
6,2952,106814,155913,116899,144073,115543,165046,60924,545.5444444444445,-150.05384615384617,271.74,-190.2,495.03,-1041.22
-1,3474,130414,199293,144825,173478,126519,153884,70106,765.3222222222222,-209.4923076923077,286.53,-313.06,273.65,-837.78
-1,3601,130523,198635,144345,172014,125324,149187,69572,756.8,-208.80769230769232,276.69,-311.26666666666665,238.63,-796.15
-1,3997,131290,201634,149595,178717,150292,193324,85062,781.6,-200.15,291.22,-189.5,430.32,-1082.62
-1,4075,131544,202183,150067,179356,151292,194063,85118,784.8777777777777,-200.44615384615383,292.89,-187.09333333333333,427.71,-1089.45
-1,1513,145746,209441,250815,227894,183707,317629,80834,707.7222222222222,159.13076923076923,-229.21,-294.58,1339.22,-2367.95
-1,1576,146338,212580,251409,233120,185447,317973,81073,736.0222222222222,149.34230769230768,-182.89,-317.82,1325.26,-2369.0
-1,-133,2523,-7942,8594,18121,9340,14163,15574,-116.27777777777777,63.6,95.27,-58.54,48.23,14.11
-1,-135,2363,-7858,8577,18188,9315,14155,15746,-113.56666666666666,63.21153846153846,96.11,-59.153333333333336,48.4,15.91
